Entity,Year,Countries Continents
Afghanistan,2015,Asia
Abkhazia,2015,Asia
Akrotiri and Dhekelia,2015,Asia
Albania,2015,Europe
Algeria,2015,Africa
American Samoa,2015,Oceania
Andorra,2015,Europe
Angola,2015,Africa
Anguilla,2015,North America
Antigua and Barbuda,2015,North America
Argentina,2015,South America
Antarctica,2015,Antarctica
Armenia,2015,Asia
Australia,2015,Oceania
Aruba,2015,North America
Austria,2015,Europe
Azerbaijan,2015,Asia
Austria-Hungary,2015,Europe
Bahamas,2015,North America
Bahrain,2015,Asia
Baden,2015,Europe
Bangladesh,2015,Asia
Barbados,2015,North America
Bavaria,2015,Europe
Belgium,2015,Europe
Belarus,2015,Europe
Belize,2015,North America
Benin,2015,Africa
Bhutan,2015,Asia
Bermuda,2015,North America
Bolivia,2015,South America
Bosnia and Herzegovina,2015,Europe
Bonaire Sint Eustatius and Saba,2015,North America
Botswana,2015,Africa
Brazil,2015,South America
Bouvet Island,2015,Antarctica
Brunei,2015,Asia
British Virgin Islands,2015,North America
British Indian Ocean Territory,2015,Asia
Bulgaria,2015,Europe
Burkina Faso,2015,Africa
Burundi,2015,Africa
Cambodia,2015,Asia
Cameroon,2015,Africa
Canada,2015,North America
Cape Verde,2015,Africa
Central African Republic,2015,Africa
Cayman Islands,2015,North America
Chile,2015,South America
Chad,2015,Africa
Channel Islands,2015,Europe
China,2015,Asia
Christmas Island,2015,Asia
Cocos Islands,2015,Asia
Congo,2015,Africa
Comoros,2015,Africa
Colombia,2015,South America
Cote d'Ivoire,2015,Africa
Costa Rica,2015,North America
Cook Islands,2015,Oceania
Cuba,2015,North America
Croatia,2015,Europe
Curacao,2015,North America
Czech Republic,2015,Europe
Cyprus,2015,Europe
Czechoslovakia,2015,Europe
Djibouti,2015,Africa
Denmark,2015,Europe
Democratic Republic of Congo,2015,Africa
Dominican Republic,2015,North America
East Germany,2015,Europe
Dominica,2015,North America
Egypt,2015,Africa
Ecuador,2015,South America
El Salvador,2015,North America
Eritrea,2015,Africa
Equatorial Guinea,2015,Africa
Eritrea and Ethiopia,2015,Africa
Estonia,2015,Europe
Ethiopia,2015,Africa
Faeroe Islands,2015,Europe
Finland,2015,Europe
Fiji,2015,Oceania
Falkland Islands,2015,South America
France,2015,Europe
French Polynesia,2015,Oceania
French Guiana,2015,South America
Gambia,2015,Africa
Gabon,2015,Africa
French Southern Territories,2015,Antarctica
Germany,2015,Europe
Ghana,2015,Africa
Georgia,2015,Asia
Greece,2015,Europe
Greenland,2015,North America
Gibraltar,2015,Europe
Grenada,2015,North America
Guadeloupe,2015,North America
Guam,2015,Oceania
Guinea,2015,Africa
Guatemala,2015,North America
Guernsey,2015,Europe
Guinea-Bissau,2015,Africa
Haiti,2015,North America
Guyana,2015,South America
Heard Island and McDonald Islands,2015,Antarctica
Hanover,2015,Europe
Hesse Electoral,2015,Europe
Honduras,2015,North America
Hong Kong,2015,Asia
Hesse Grand Ducal,2015,Europe
India,2015,Asia
Hungary,2015,Europe
Iceland,2015,Europe
Iraq,2015,Asia
Iran,2015,Asia
Indonesia,2015,Asia
Ireland,2015,Europe
Israel,2015,Asia
Isle of Man,2015,Europe
Italy,2015,Europe
Japan,2015,Asia
Jamaica,2015,North America
Jordan,2015,Asia
Kazakhstan,2015,Asia
Jersey,2015,Europe
Kenya,2015,Africa
Kiribati,2015,Oceania
Kosovo,2015,Europe
Laos,2015,Asia
Kyrgyzstan,2015,Asia
Kuwait,2015,Asia
Latvia,2015,Europe
Lesotho,2015,Africa
Lebanon,2015,Asia
Libya,2015,Africa
Liberia,2015,Africa
Liechtenstein,2015,Europe
Lithuania,2015,Europe
Luxembourg,2015,Europe
Macao,2015,Asia
Macedonia,2015,Europe
Malawi,2015,Africa
Madagascar,2015,Africa
Mali,2015,Africa
Malaysia,2015,Asia
Maldives,2015,Asia
Malta,2015,Europe
Marshall Islands,2015,Oceania
Martinique,2015,North America
Mauritania,2015,Africa
Mayotte,2015,Africa
Mauritius,2015,Africa
Mexico,2015,North America
Micronesia,2015,Oceania
Mecklenburg Schwerin,2015,Europe
Moldova,2015,Europe
Monaco,2015,Europe
Modena,2015,Europe
Mongolia,2015,Asia
Montenegro,2015,Europe
Montserrat,2015,North America
Mozambique,2015,Africa
Morocco,2015,Africa
Myanmar,2015,Asia
Namibia,2015,Africa
Nauru,2015,Oceania
Nagorno-Karabakh,2015,Asia
Netherlands,2015,Europe
Nepal,2015,Asia
Netherlands Antilles,2015,North America
Nicaragua,2015,North America
New Zealand,2015,Oceania
New Caledonia,2015,Oceania
Nigeria,2015,Africa
Niger,2015,Africa
Niue,2015,Oceania
North Korea,2015,Asia
Norfolk Island,2015,Oceania
Northern Cyprus,2015,Asia
Norway,2015,Europe
Oman,2015,Asia
Northern Mariana Islands,2015,Oceania
Pakistan,2015,Asia
Palestine,2015,Asia
Palau,2015,Oceania
Paraguay,2015,South America
Papua New Guinea,2015,Oceania
Panama,2015,North America
Philippines,2015,Asia
Peru,2015,South America
Parma,2015,Europe
Poland,2015,Europe
Portugal,2015,Europe
Pitcairn,2015,Oceania
Puerto Rico,2015,North America
Qatar,2015,Asia
Republic of Vietnam,2015,Asia
Russia,2015,Europe
Romania,2015,Europe
Reunion,2015,Africa
Rwanda,2015,Africa
Saint Helena,2015,Africa
Saint Barthélemy,2015,North America
Saint Kitts and Nevis,2015,North America
Saint Lucia,2015,North America
Saint Martin (French part),2015,North America
Saint Vincent and the Grenadines,2015,North America
Samoa,2015,Oceania
Saint Pierre and Miquelon,2015,North America
Saudi Arabia,2015,Asia
San Marino,2015,Europe
Sao Tome and Principe,2015,Africa
Serbia,2015,Europe
Senegal,2015,Africa
Saxony,2015,Europe
Seychelles,2015,Africa
Serbia and Montenegro,2015,Europe
Serbia excluding Kosovo,2015,Europe
Singapore,2015,Asia
Sierra Leone,2015,Africa
Sint Maarten (Dutch part),2015,North America
Slovenia,2015,Europe
Slovakia,2015,Europe
Solomon Islands,2015,Oceania
South Africa,2015,Africa
Somalia,2015,Africa
Somaliland,2015,Africa
South Korea,2015,Asia
South Georgia and the South Sandwich Islands,2015,South America
South Ossetia,2015,Asia
Spain,2015,Europe
Sri Lanka,2015,Asia
South Sudan,2015,Africa
Sudan,2015,Africa
Suriname,2015,South America
Svalbard and Jan Mayen,2015,Europe
Switzerland,2015,Europe
Sweden,2015,Europe
Swaziland,2015,Africa
Tajikistan,2015,Asia
Syria,2015,Asia
Taiwan,2015,Asia
Tanzania,2015,Africa
Thailand,2015,Asia
Timor,2015,Asia
Togo,2015,Africa
Tonga,2015,Oceania
Tokelau,2015,Oceania
Tunisia,2015,Africa
Trinidad and Tobago,2015,North America
Transnistria,2015,Europe
Turkmenistan,2015,Asia
Turkey,2015,Asia
Turks and Caicos Islands,2015,North America
Tuvalu,2015,Oceania
Two Sicilies,2015,Europe
Tuscany,2015,Europe
Ukraine,2015,Europe
Uganda,2015,Africa
USSR,2015,Europe
United Kingdom,2015,Europe
United Arab Emirates,2015,Asia
United Korea,2015,Asia
United States,2015,North America
United States Virgin Islands,2015,North America
United States Minor Outlying Islands,2015,Oceania
Uzbekistan,2015,Asia
Uruguay,2015,South America
Vanuatu,2015,Oceania
Vietnam,2015,Asia
Venezuela,2015,South America
Vatican,2015,Europe
West Germany,2015,Europe
Western Sahara,2015,Africa
Wallis and Futuna,2015,Oceania
Yemen,2015,Asia
Wuerttemburg,2015,Europe
Yemen Arab Republic,2015,Asia
Zambia,2015,Africa
Yugoslavia,2015,Europe
Yemen People's Republic,2015,Asia
Zimbabwe,2015,Africa
Åland Islands,2015,Europe
Zanzibar,2015,Africa
