Entity,Year,Total Real GDP,Real GDP per capita
United Kingdom,1646,7275779622,834.5451181
United Kingdom,1647,7350237871,829.692664
United Kingdom,1648,7436637375,840.4755167
United Kingdom,1649,7315000744,825.7615556
United Kingdom,1650,7009557109,791.7341908
United Kingdom,1651,7397031839,836.1867929
United Kingdom,1652,8459530100,941.5169749
United Kingdom,1653,9436136749,1051.299246
United Kingdom,1654,9227474075,1042.082274
United Kingdom,1655,9762257997,1085.217905
United Kingdom,1656,9025538203,1004.610328
United Kingdom,1657,8501941669,945.5886397
United Kingdom,1658,8260930664,931.6805958
United Kingdom,1659,6923490366,788.8192881
United Kingdom,1660,7552595287,863.8971947
United Kingdom,1661,7756126018,881.4700879
United Kingdom,1662,7902476255,911.0562283
United Kingdom,1663,9239396386,1072.479444
United Kingdom,1664,8747813213,1000.780021
United Kingdom,1665,9021171832,1044.109188
United Kingdom,1666,10186361860,1168.842167
United Kingdom,1667,10232367687,1202.363575
United Kingdom,1668,9215198340,1062.283111
United Kingdom,1669,9446684284,1089.96295
United Kingdom,1670,9165022845,1058.912855
United Kingdom,1671,8818337273,1025.65824
United Kingdom,1672,8724340261,1018.286274
United Kingdom,1673,8951585811,1038.551165
United Kingdom,1674,8546271596,988.6387597
United Kingdom,1675,8769718086,1014.471757
United Kingdom,1676,10363457397,1199.409147
United Kingdom,1677,9614806127,1110.943667
United Kingdom,1678,9997993421,1151.540976
United Kingdom,1679,9306196286,1075.035241
United Kingdom,1680,10412993972,1209.289152
United Kingdom,1681,9342068335,1097.183914
United Kingdom,1682,9733740216,1176.974663
United Kingdom,1683,10496144278,1272.113153
United Kingdom,1684,8778604022,1065.449163
United Kingdom,1685,9651920728,1155.50264
United Kingdom,1686,8958406209,1067.361862
United Kingdom,1687,9854425577,1187.64804
United Kingdom,1688,10528845907,1277.368387
United Kingdom,1689,10277219161,1222.833077
United Kingdom,1690,10971160925,1306.344535
United Kingdom,1691,11157356399,1314.312414
United Kingdom,1692,12068303461,1420.553561
United Kingdom,1693,10267802822,1203.015009
United Kingdom,1694,12196149081,1432.230082
United Kingdom,1695,11667358918,1370.097284
United Kingdom,1696,11173142530,1309.824912
United Kingdom,1697,11093487298,1292.511829
United Kingdom,1698,11416629611,1323.147219
United Kingdom,1699,11007037682,1272.522756
United Kingdom,1700,11695402334,1350.632678
United Kingdom,1701,12744720642,1462.791631
United Kingdom,1702,12416023942,1415.017571
United Kingdom,1703,11620320502,1313.004981
United Kingdom,1704,13834012001,1555.576319
United Kingdom,1705,13130175760,1473.018798
United Kingdom,1706,11119214832,1243.336141
United Kingdom,1707,12492359236,1391.784049
United Kingdom,1708,13297053368,1476.329841
United Kingdom,1709,11519710135,1276.06376
United Kingdom,1710,10473292467,1156.829627
United Kingdom,1711,11419275559,1262.765778
United Kingdom,1712,11408762260,1264.021312
United Kingdom,1713,10919023906,1207.678099
United Kingdom,1714,12011005083,1323.6387
United Kingdom,1715,11673937780,1285.018529
United Kingdom,1716,12115544316,1325.535461
United Kingdom,1717,12798626417,1390.767964
United Kingdom,1718,13521384578,1459.395179
United Kingdom,1719,13283174977,1424.070093
United Kingdom,1720,14130410202,1519.966909
United Kingdom,1721,13579152925,1462.286586
United Kingdom,1722,13723967497,1476.479037
United Kingdom,1723,13394290865,1435.622952
United Kingdom,1724,13260563025,1416.253155
United Kingdom,1725,13606525411,1447.798509
United Kingdom,1726,13186508528,1391.234646
United Kingdom,1727,13106499530,1374.684648
United Kingdom,1728,13506434151,1430.432824
United Kingdom,1729,12755832231,1372.931221
United Kingdom,1730,13047792671,1421.653215
United Kingdom,1731,12840512298,1400.111242
United Kingdom,1732,13693648523,1486.614578
United Kingdom,1733,13997234084,1511.533932
United Kingdom,1734,13946683823,1490.600457
United Kingdom,1735,13615810139,1442.28873
United Kingdom,1736,14627878376,1537.226539
United Kingdom,1737,13844434567,1446.090603
United Kingdom,1738,14103072295,1466.365231
United Kingdom,1739,14008839601,1447.308017
United Kingdom,1740,13773497275,1415.267665
United Kingdom,1741,14175672422,1453.136267
United Kingdom,1742,14502035836,1502.158579
United Kingdom,1743,14160963152,1467.303632
United Kingdom,1744,13963022983,1436.826953
United Kingdom,1745,14168732235,1443.100601
United Kingdom,1746,14613833202,1479.384102
United Kingdom,1747,15279746668,1539.884439
United Kingdom,1748,15116266550,1519.836656
United Kingdom,1749,15026592190,1501.203548
United Kingdom,1750,15244399254,1512.794299
United Kingdom,1751,14914572799,1471.002233
United Kingdom,1752,15649150608,1533.899875
United Kingdom,1753,15788032724,1536.426899
United Kingdom,1754,15345684445,1483.018584
United Kingdom,1755,15810803810,1517.705492
United Kingdom,1756,15542942984,1480.317124
United Kingdom,1757,16438195348,1559.112144
United Kingdom,1758,16666852387,1576.906775
United Kingdom,1759,16930506632,1596.338613
United Kingdom,1760,17422512786,1633.074336
United Kingdom,1761,18116043461,1686.521174
United Kingdom,1762,17612118028,1633.543937
United Kingdom,1763,17554290999,1631.92623
United Kingdom,1764,17546826732,1623.376204
United Kingdom,1765,17404553505,1597.884351
United Kingdom,1766,17637058895,1612.057672
United Kingdom,1767,17758535482,1619.345866
United Kingdom,1768,17922099208,1630.173143
United Kingdom,1769,18934861504,1711.24361
United Kingdom,1770,18417512899,1653.112619
United Kingdom,1771,18761576742,1673.612176
United Kingdom,1772,18282312942,1618.879859
United Kingdom,1773,18608290237,1635.240618
United Kingdom,1774,18194356989,1587.555473
United Kingdom,1775,18775661461,1621.417909
United Kingdom,1776,19383815312,1658.376226
United Kingdom,1777,19944544661,1690.151446
United Kingdom,1778,19805437236,1661.145703
United Kingdom,1779,19751226307,1641.444507
United Kingdom,1780,20653582809,1707.461325
United Kingdom,1781,21241951789,1737.091084
United Kingdom,1782,21030313798,1706.871489
United Kingdom,1783,20922065077,1694.880616
United Kingdom,1784,21004605188,1685.655705
United Kingdom,1785,20858217905,1658.417459
United Kingdom,1786,21223065265,1669.702742
United Kingdom,1787,20869754275,1622.899782
United Kingdom,1788,20821954156,1602.796696
United Kingdom,1789,21287955224,1617.178207
United Kingdom,1790,22903584814,1720.300706
United Kingdom,1791,23001698119,1706.256377
United Kingdom,1792,23926068690,1754.667607
United Kingdom,1793,23538098200,1708.339567
United Kingdom,1794,22776308588,1638.550627
United Kingdom,1795,25250236006,1796.136286
United Kingdom,1796,25703370750,1810.277868
United Kingdom,1797,25516813654,1773.829063
United Kingdom,1798,25762063422,1770.468009
United Kingdom,1799,26439122689,1795.920149
United Kingdom,1800,27727762360,1871.978667
United Kingdom,1801,27977039816,1876.091663
United Kingdom,1802,28294894034,1881.908757
United Kingdom,1803,27695935162,1821.112153
United Kingdom,1804,27667306906,1794.367426
United Kingdom,1805,29347515419,1875.165154
United Kingdom,1806,29230793709,1840.950627
United Kingdom,1807,31141247299,1934.408619
United Kingdom,1808,29683019544,1820.160388
United Kingdom,1809,30613715745,1852.970423
United Kingdom,1810,32586308732,1947.689263
United Kingdom,1811,32243964007,1902.315793
United Kingdom,1812,30911016920,1796.314839
United Kingdom,1813,32591653238,1864.198305
United Kingdom,1814,31867217871,1794.542801
United Kingdom,1815,35277276677,1954.01969
United Kingdom,1816,33424383307,1820.706796
United Kingdom,1817,33985306647,1822.309706
United Kingdom,1818,33949251669,1792.874233
United Kingdom,1819,33387719206,1738.112965
United Kingdom,1820,36103342017,1851.373867
United Kingdom,1821,36722559205,1852.373638
United Kingdom,1822,37436866350,1857.031801
United Kingdom,1823,38545435039,1881.41575
United Kingdom,1824,40665430364,1955.719504
United Kingdom,1825,41585097569,1972.414611
United Kingdom,1826,39357790436,1842.502514
United Kingdom,1827,42395789149,1959.252485
United Kingdom,1828,42526141062,1937.783112
United Kingdom,1829,42886978687,1927.868258
United Kingdom,1830,44812881907,1988.372783
United Kingdom,1831,46815159610,2052.220039
United Kingdom,1832,46147733709,2002.391766
United Kingdom,1833,46815159610,2010.74276
United Kingdom,1834,48817437312,2075.353409
United Kingdom,1835,51296447800,2158.636856
United Kingdom,1836,52249913373,2176.272412
United Kingdom,1837,51868527144,2139.339077
United Kingdom,1838,54728923861,2235.366531
United Kingdom,1839,57112587793,2309.823889
United Kingdom,1840,55491696319,2222.284255
United Kingdom,1841,53489418617,2121.553504
United Kingdom,1842,53108032388,2085.344535
United Kingdom,1843,54728923861,2130.711953
United Kingdom,1844,57684667136,2223.638579
United Kingdom,1845,60735756968,2319.960816
United Kingdom,1846,64835658930,2456.244568
United Kingdom,1847,63214767457,2407.95479
United Kingdom,1848,65217045159,2523.261003
United Kingdom,1849,66170510731,2583.858477
United Kingdom,1850,65026352044,2562.348346
United Kingdom,1851,67886748762,2698.491363
United Kingdom,1852,69221600563,2738.238939
United Kingdom,1853,71223878266,2799.659391
United Kingdom,1854,72463383510,2827.833011
United Kingdom,1855,73512195640,2842.764437
United Kingdom,1856,76957181230,2946.094658
United Kingdom,1857,77087764035,2929.31592
United Kingdom,1858,77412365323,2917.224907
United Kingdom,1859,80458919872,3006.853179
United Kingdom,1860,81991851697,3039.956923
United Kingdom,1861,83789271804,3081.001861
United Kingdom,1862,84798038895,3089.142319
United Kingdom,1863,86689844276,3133.652119
United Kingdom,1864,88165633770,3164.358048
United Kingdom,1865,92066248237,3277.22985
United Kingdom,1866,92896809906,3282.142542
United Kingdom,1867,91827335382,3217.083564
United Kingdom,1868,94802668045,3291.925483
United Kingdom,1869,96697329647,3327.295907
United Kingdom,1870,1.0429E+11,3557.355188
United Kingdom,1871,1.09857E+11,3713.541093
United Kingdom,1872,1.10321E+11,3707.113066
United Kingdom,1873,1.11347E+11,3706.356418
United Kingdom,1874,1.15743E+11,3814.276934
United Kingdom,1875,1.17052E+11,3817.711669
United Kingdom,1876,1.17893E+11,3803.331199
United Kingdom,1877,1.18632E+11,3784.313495
United Kingdom,1878,1.19023E+11,3756.951986
United Kingdom,1879,1.16759E+11,3645.522757
United Kingdom,1880,1.25019E+11,3867.457372
United Kingdom,1881,1.27747E+11,3916.554488
United Kingdom,1882,1.29861E+11,3950.720161
United Kingdom,1883,1.33712E+11,4039.878984
United Kingdom,1884,1.32522E+11,3973.215411
United Kingdom,1885,1.31529E+11,3911.580835
United Kingdom,1886,1.32353E+11,3903.784817
United Kingdom,1887,1.37688E+11,4029.5166
United Kingdom,1888,1.41971E+11,4122.97939
United Kingdom,1889,1.46555E+11,4222.103032
United Kingdom,1890,1.47854E+11,4224.64065
United Kingdom,1891,1.5131E+11,4287.134057
United Kingdom,1892,1.48324E+11,4165.942557
United Kingdom,1893,1.47387E+11,4101.337212
United Kingdom,1894,1.54188E+11,4249.84573
United Kingdom,1895,1.59283E+11,4349.75679
United Kingdom,1896,1.66066E+11,4491.699738
United Kingdom,1897,1.67949E+11,4498.552674
United Kingdom,1898,1.75499E+11,4654.915343
United Kingdom,1899,1.81751E+11,4774.395062
United Kingdom,1900,1.8116E+11,4714.698405
United Kingdom,1901,1.84975E+11,4769.596769
United Kingdom,1902,1.87757E+11,4800.305596
United Kingdom,1903,1.86016E+11,4716.055606
United Kingdom,1904,1.88156E+11,4729.449101
United Kingdom,1905,1.93666E+11,4826.041782
United Kingdom,1906,1.98524E+11,4903.745675
United Kingdom,1907,2.023E+11,4954.05818
United Kingdom,1908,1.94777E+11,4727.994983
United Kingdom,1909,1.99383E+11,4796.751071
United Kingdom,1910,2.04633E+11,4879.651526
United Kingdom,1911,2.11385E+11,5001.463106
United Kingdom,1912,2.14508E+11,5057.701657
United Kingdom,1913,2.23345E+11,5240.336516
United Kingdom,1914,2.2779E+11,5298.203822
United Kingdom,1915,2.40296E+11,5553.985257
United Kingdom,1916,2.43E+11,5595.472885
United Kingdom,1917,2.41403E+11,5546.774389
United Kingdom,1918,2.46001E+11,5657.156841
United Kingdom,1919,2.26744E+11,5218.907852
United Kingdom,1920,2.13408E+11,4881.84764
United Kingdom,1921,1.92684E+11,4372.027591
United Kingdom,1922,2.02914E+11,4573.019021
United Kingdom,1923,2.08925E+11,4684.837205
United Kingdom,1924,2.18786E+11,4871.112101
United Kingdom,1925,2.26485E+11,5026.409818
United Kingdom,1926,2.19419E+11,4850.968341
United Kingdom,1927,2.36293E+11,5205.952984
United Kingdom,1928,2.38403E+11,5230.659529
United Kingdom,1929,2.45205E+11,5368.825539
United Kingdom,1930,2.43254E+11,5303.579994
United Kingdom,1931,2.31969E+11,5034.70504
United Kingdom,1932,2.32128E+11,5009.776627
United Kingdom,1933,2.3951E+11,5148.538263
United Kingdom,1934,2.53801E+11,5438.670552
United Kingdom,1935,2.63187E+11,5615.494581
United Kingdom,1936,2.75737E+11,5856.651303
United Kingdom,1937,2.85387E+11,6034.955275
United Kingdom,1938,2.87602E+11,6055.543858
United Kingdom,1939,3.00258E+11,6256.548103
United Kingdom,1940,3.30052E+11,6843.860158
United Kingdom,1941,3.58791E+11,7441.326531
United Kingdom,1942,3.65224E+11,7545.950413
United Kingdom,1943,3.71499E+11,7614.400787
United Kingdom,1944,3.55152E+11,7245.634079
United Kingdom,1945,3.38911E+11,6890.956041
United Kingdom,1946,3.30579E+11,6754.919389
United Kingdom,1947,3.2636E+11,6621.221343
United Kingdom,1948,3.36854E+11,6773.385345
United Kingdom,1949,3.48243E+11,6960.961861
United Kingdom,1950,3.59774E+11,7155.409706
United Kingdom,1951,3.73254E+11,7422.179801
United Kingdom,1952,3.79199E+11,7516.18402
United Kingdom,1953,4.00153E+11,7909.271854
United Kingdom,1954,4.17347E+11,8221.172503
United Kingdom,1955,4.33302E+11,8505.106377
United Kingdom,1956,4.40315E+11,8602.67469
United Kingdom,1957,4.48743E+11,8725.282033
United Kingdom,1958,4.54426E+11,8797.754223
United Kingdom,1959,4.73093E+11,9105.594509
United Kingdom,1960,5.02799E+11,9600.439162
United Kingdom,1961,5.16253E+11,9776.148797
United Kingdom,1962,5.21906E+11,9793.364082
United Kingdom,1963,5.47364E+11,10207.27311
United Kingdom,1964,5.77677E+11,10699.54511
United Kingdom,1965,5.89975E+11,10855.20566
United Kingdom,1966,5.99211E+11,10965.98448
United Kingdom,1967,6.15879E+11,11206.15368
United Kingdom,1968,6.49439E+11,11762.32262
United Kingdom,1969,6.61919E+11,11934.9412
United Kingdom,1970,6.799E+11,12221.33944
United Kingdom,1971,7.03556E+11,12579.67387
United Kingdom,1972,7.3377E+11,13080.44858
United Kingdom,1973,7.81583E+11,13901.50633
United Kingdom,1974,7.62257E+11,13554.70556
United Kingdom,1975,7.50912E+11,13355.31616
United Kingdom,1976,7.72852E+11,13747.8765
United Kingdom,1977,7.91889E+11,14093.08434
United Kingdom,1978,8.25111E+11,14687.43992
United Kingdom,1979,8.55933E+11,15219.26526
United Kingdom,1980,8.38462E+11,14884.90086
United Kingdom,1981,8.31931E+11,14761.67325
United Kingdom,1982,8.487E+11,15077.09089
United Kingdom,1983,8.8452E+11,15706.45486
United Kingdom,1984,9.04639E+11,16037.05417
United Kingdom,1985,9.42519E+11,16665.82381
United Kingdom,1986,9.72239E+11,17151.97287
United Kingdom,1987,1.02435E+12,18033.06105
United Kingdom,1988,1.08363E+12,19038.97646
United Kingdom,1989,1.11162E+12,19475.96647
United Kingdom,1990,1.11959E+12,19560.42804
United Kingdom,1991,1.10706E+12,19273.7649
United Kingdom,1992,1.11104E+12,19294.08087
United Kingdom,1993,1.1389E+12,19733.54772
United Kingdom,1994,1.18314E+12,20447.5814
United Kingdom,1995,1.2128E+12,20901.40767
United Kingdom,1996,1.24371E+12,21382.66706
United Kingdom,1997,1.2826E+12,21994.64281
United Kingdom,1998,1.32353E+12,22634.15585
United Kingdom,1999,1.36698E+12,23293.75439
United Kingdom,2000,1.41818E+12,24083.44244
United Kingdom,2001,1.45684E+12,24644.99527
United Kingdom,2002,1.49176E+12,25128.32457
United Kingdom,2003,1.54347E+12,25881.22722
United Kingdom,2004,1.58249E+12,26396.67042
United Kingdom,2005,1.62952E+12,26972.87927
United Kingdom,2006,1.67031E+12,27459.97929
United Kingdom,2007,1.713E+12,27935.84215
United Kingdom,2008,1.70225E+12,27533.90718
United Kingdom,2009,1.62858E+12,26157.52148
United Kingdom,2010,1.65977E+12,26446.53261
United Kingdom,2011,1.68482E+12,26622.67741
United Kingdom,2012,1.70694E+12,26794.43052
United Kingdom,2013,1.73956E+12,27135.82799
United Kingdom,2014,1.79298E+12,27756.48329
United Kingdom,2015,1.83323E+12,28161.47086
