Entity,Year,Hypothetical global emissions
Afghanistan,2014,2.13323477
Albania,2014,14.39933469
Actual,2014,36.17
Algeria,2014,27.19874331
Andorra,2014,46.39785624
Angola,2014,10.3995195
Argentina,2014,34.39841066
Armenia,2014,13.33271731
Anguilla,2014,70.93005609
Australia,2014,111.1948624
Austria,2014,50.13101709
Aruba,2014,61.33049963
Azerbaijan,2014,28.2653607
Bahamas,2014,45.86454755
Bahrain,2014,167.4589294
Bangladesh,2014,3.466506501
Barbados,2014,32.53183024
Belarus,2014,48.53109101
Belgium,2014,60.53053659
Belize,2014,10.13286516
Benin,2014,4.266469539
Bhutan,2014,9.599556463
Bolivia,2014,14.13268035
Bermuda,2014,66.9302409
Bosnia and Herzegovina,2014,42.39804105
Botswana,2014,22.93227377
Brazil,2014,18.66580423
Brunei,2014,158.659336
Bulgaria,2014,42.93134974
British Virgin Islands,2014,43.73131278
Burkina Faso,2014,1.066617385
Burundi,2014,0.266654346
Cambodia,2014,3.199852154
Cameroon,2014,2.13323477
Canada,2014,109.8615906
Cape Verde,2014,6.933013001
Chad,2014,0.266654346
Central African Republic,2014,0.533308692
Cayman Islands,2014,66.66358655
China,2014,54.66414097
Chile,2014,33.86510197
Christmas Island,2014,0
Congo,2014,5.066432578
Comoros,2014,1.333271731
Colombia,2014,12.79940862
Cote d'Ivoire,2014,3.733160847
Costa Rica,2014,11.73279123
Cook Islands,2014,24.7988542
Cuba,2014,22.13231073
Croatia,2014,28.79866939
Curacao,2014,274.6539766
Czech Republic,2014,66.66358655
Cyprus,2014,38.13157151
Czechoslovakia,2014,0
Djibouti,2014,5.866395616
Denmark,2014,43.19800408
Dominica,2014,13.59937166
Egypt,2014,16.26591512
Dominican Republic,2014,14.93264339
Ecuador,2014,19.99907597
Eritrea,2014,1.066617385
Equatorial Guinea,2014,47.46447362
El Salvador,2014,7.466321694
Estonia,2014,107.7283559
Ethiopia,2014,0.799963039
Faeroe Islands,2014,90.39582336
Finland,2014,62.66377136
Fiji,2014,9.599556463
Falkland Islands,2014,137.5936426
France,2014,34.39841066
French Polynesia,2014,20.799039
French Guiana,2014,20.26573031
Gambia,2014,1.866580423
Georgia,2014,16.26591512
Gabon,2014,22.39896508
Germany,2014,64.79700613
Ghana,2014,3.999815193
Gibraltar,2014,119.9944558
Greece,2014,44.53127582
Greenland,2014,65.59696917
Grenada,2014,16.53256946
Guinea,2014,1.333271731
Guatemala,2014,8.266284732
Guadeloupe,2014,39.99815193
Guinea-Bissau,2014,1.066617385
Haiti,2014,1.866580423
Guyana,2014,19.19911293
Hungary,2014,30.93190416
Honduras,2014,8.532939078
Iceland,2014,43.99796712
Iran,2014,60.53053659
Indonesia,2014,13.33271731
India,2014,12.53275427
Ireland,2014,53.06421489
Israel,2014,59.19726486
Iraq,2014,34.66506501
Italy,2014,38.93153455
Japan,2014,69.59678436
Jamaica,2014,19.46576727
Kenya,2014,2.399889116
Jordan,2014,25.86547158
Kazakhstan,2014,103.995195
Kyrgyzstan,2014,11.99944558
Kiribati,2014,3.999815193
Kuwait,2014,184.7914619
Latvia,2014,25.59881724
Lesotho,2014,8.532939078
Lebanon,2014,31.19855851
Lithuania,2014,31.99852154
Liberia,2014,1.599926077
Liechtenstein,2014,8.266284732
Macedonia,2014,26.39878027
Madagascar,2014,1.066617385
Luxembourg,2014,126.1275058
Malaysia,2014,58.93061051
Malawi,2014,0.533308692
Maldives,2014,27.19874331
Mali,2014,0.533308692
Malta,2014,40.79811497
Marshall Islands,2014,13.866026
Mauritania,2014,5.066432578
Mauritius,2014,24.2655455
Martinique,2014,42.1313867
Moldova,2014,8.799593425
Mexico,2014,27.732052
Micronesia,2014,10.3995195
Mongolia,2014,51.99759751
Montenegro,2014,25.59881724
Montserrat,2014,70.13009305
Mozambique,2014,2.13323477
Morocco,2014,12.53275427
Myanmar,2014,2.933197808
Nepal,2014,2.13323477
Namibia,2014,11.46613689
Nauru,2014,35.1983737
Netherlands,2014,71.99667347
New Zealand,2014,55.9974127
New Caledonia,2014,119.9944558
Nigeria,2014,3.999815193
Niger,2014,0.799963039
Nicaragua,2014,5.866395616
Norway,2014,67.19689524
Oman,2014,105.0618124
Niue,2014,41.59807801
Pakistan,2014,6.666358655
Palestine,2014,4.533123885
Palau,2014,89.86251467
Paraguay,2014,6.399704309
Papua New Guinea,2014,6.133049963
Panama,2014,16.53256946
Poland,2014,53.86417793
Philippines,2014,7.73297604
Peru,2014,14.39933469
Portugal,2014,31.46521285
Qatar,2014,361.0499848
Reunion,2014,35.46502804
Russia,2014,86.39600817
Rwanda,2014,0.533308692
Romania,2014,25.86547158
Saint Lucia,2014,16.26591512
Samoa,2014,7.466321694
Saint Helena,2014,22.39896508
Senegal,2014,4.266469539
Saudi Arabia,2014,141.5934578
Sao Tome and Principe,2014,4.533123885
Sierra Leone,2014,1.599926077
Serbia,2014,30.93190416
Seychelles,2014,37.59826281
Slovenia,2014,45.06458451
Slovakia,2014,41.06476931
Singapore,2014,74.39656259
South Africa,2014,65.86362351
Somalia,2014,0.533308692
Solomon Islands,2014,2.666543462
Spain,2014,36.79829978
South Korea,2014,85.32939078
South Sudan,2014,0.799963039
Sudan,2014,0
Sri Lanka,2014,6.399704309
Suriname,2014,26.93208897
Switzerland,2014,31.19855851
Sweden,2014,32.53183024
Swaziland,2014,6.933013001
Tajikistan,2014,4.533123885
Syria,2014,11.99944558
Taiwan,2014,82.12953863
Tanzania,2014,0
Thailand,2014,33.86510197
Timor-Leste,2014,2.933197808
Trinidad and Tobago,2014,248.5218507
Togo,2014,2.666543462
Tonga,2014,8.266284732
Turkmenistan,2014,93.86232986
Turkey,2014,32.53183024
Tunisia,2014,18.93245858
Ukraine,2014,36.79829978
Uganda,2014,1.066617385
Turks and Caicos Islands,2014,44.26462147
United Kingdom,2014,47.46447362
United States,2014,118.1278754
United Arab Emirates,2014,169.0588555
Uzbekistan,2014,25.86547158
Uruguay,2014,14.39933469
Vanuatu,2014,4.266469539
Yemen,2014,6.399704309
Venezuela,2014,43.99796712
Wallis and Futuna,2014,11.73279123
Zambia,2014,2.13323477
Zimbabwe,2014,5.866395616
Zanzibar,2014,0
